full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
Samuel Dinsmore Purviance,1774-01-07,01-07,M,rep,1803-10-17,1805-03-03,NC,,7.0,Federalist,,Capricorn,29.0,29.0,31.0,31.0,503.0,1.0,4.0
Thomson Joseph Skinner,1752-05-24,05-24,M,rep,1795-12-07,1797-03-03,MA,,1.0,Republican,,Gemini,43.0,43.0,44.0,44.0,452.0,1.0,2.0
Israel  Smith,1759-04-04,04-04,M,rep,1791-10-24,1793-03-03,VT,,1.0,Democratic Republican,,Aries,32.0,32.0,33.0,33.0,496.0,1.0,4.0
John  Smith,,,M,sen,1803-10-17,1809-03-03,OH,1.0,,Republican,,,,,,,1964.0,5.0,4.0
John  Stewart,,,M,rep,1799-12-02,1801-03-03,PA,,8.0,Republican,,,,,,,456.0,1.0,3.0
Samuel  Thatcher,1776-07-01,07-01,M,rep,1801-12-07,1803-03-03,MA,,12.0,Federalist,,Cancer,25.0,25.0,26.0,26.0,451.0,1.0,2.0
George  Tibbits,1763-01-14,01-14,M,rep,1803-10-17,1805-03-03,NY,,10.0,Federalist,,Capricorn,40.0,40.0,42.0,42.0,503.0,1.0,4.0
John Johns Trigg,,,M,rep,1797-05-15,1799-03-03,VA,,5.0,Republican,,,,,,,657.0,1.0,9.0
Isaac  Van Horne,1754-01-13,01-13,M,rep,1801-12-07,1803-03-03,PA,,4.0,Republican,,Capricorn,47.0,47.0,49.0,49.0,451.0,1.0,2.0
Abraham Bedford Venable,1758-11-20,11-20,M,rep,1791-10-24,1793-03-03,VA,,6.0,Democratic Republican,,Scorpio,32.0,32.0,34.0,34.0,496.0,1.0,4.0
Samuel  White,,,M,sen,1801-12-07,1803-03-03,DE,1.0,,Federalist,,,,,,,451.0,1.0,2.0
Lemuel  Williams,1747-06-18,06-18,M,rep,1799-12-02,1801-03-03,MA,,5.0,Federalist,,Gemini,52.0,52.0,53.0,53.0,456.0,1.0,3.0
John  Armstrong Jr.,1758-11-25,11-25,M,sen,1800-11-06,1801-03-03,NY,3.0,,Republican,,Sagittarius,41.0,41.0,42.0,42.0,117.0,0.0,3.0
Benjamin  Howland,1755-07-27,07-27,M,sen,1804-01-01,1809-03-03,RI,1.0,,Republican,,Leo,48.0,48.0,53.0,53.0,1888.0,5.0,2.0
Andrew  Moore,,,M,rep,1789-03-04,1791-03-03,VA,,3.0,Democratic Republican,,,,,,,729.0,1.0,12.0
Nathaniel  Alexander,1756-03-05,03-05,M,rep,1803-03-04,1805-03-03,NC,,10.0,Republican,,Pisces,47.0,47.0,49.0,49.0,730.0,2.0,0.0
Isaac  Anderson,1760-11-23,11-23,M,rep,1803-10-17,1805-03-03,PA,,3.0,Republican,,Sagittarius,42.0,42.0,44.0,44.0,503.0,1.0,4.0
John  Archer,1741-05-05,05-05,M,rep,1801-12-07,1803-03-03,MD,,6.0,Republican,,Taurus,60.0,60.0,61.0,61.0,451.0,1.0,2.0
Abraham  Baldwin,1754-11-22,11-22,M,rep,1789-03-04,1791-03-03,GA,,2.0,Democratic Republican,,Sagittarius,34.0,34.0,36.0,36.0,729.0,1.0,12.0
George Michael Bedinger,1756-12-10,12-10,M,rep,1803-10-17,1805-03-03,KY,,6.0,Republican,,Sagittarius,46.0,46.0,48.0,48.0,503.0,1.0,4.0
Silas  Betton,1768-08-26,08-26,M,rep,1803-10-17,1805-03-03,NH,,-1.0,Federalist,,Virgo,35.0,35.0,36.0,36.0,503.0,1.0,4.0
Phanuel  Bishop,1739-09-03,09-03,M,rep,1799-12-02,1801-03-03,MA,,7.0,Republican,,Virgo,60.0,60.0,61.0,61.0,456.0,1.0,3.0
Joseph  Bryan,1773-08-18,08-18,M,rep,1803-10-17,1805-03-03,GA,,-1.0,Republican,,Leo,30.0,30.0,31.0,31.0,503.0,1.0,4.0
Levi  Casey,,,M,rep,1803-10-17,1805-03-03,SC,,6.0,Republican,,,,,,,503.0,1.0,4.0
Christopher Henderson Clark,,,M,rep,1803-10-17,1805-03-03,VA,,13.0,Republican,,,,,,,503.0,1.0,4.0
Frederick  Conrad,,,M,rep,1803-10-17,1805-03-03,PA,,2.0,Republican,,,,,,,503.0,1.0,4.0
Leonard  Covington,1768-10-30,10-30,M,rep,1805-12-02,1807-03-03,MD,,2.0,Republican,,Scorpio,37.0,37.0,38.0,38.0,456.0,1.0,3.0
William  Dickson,1770-05-05,05-05,M,rep,1801-12-07,1803-03-03,TN,,1.0,Republican,,Taurus,31.0,31.0,32.0,32.0,451.0,1.0,2.0
Theodore  Dwight,1764-12-15,12-15,M,rep,1805-12-02,1807-03-03,CT,,-1.0,Federalist,,Sagittarius,40.0,40.0,42.0,42.0,456.0,1.0,3.0
Peter  Early,1773-06-20,06-20,M,rep,1801-12-07,1803-03-03,GA,,-1.0,Republican,,Gemini,28.0,28.0,29.0,29.0,451.0,1.0,2.0
Caleb  Ellis,1767-04-16,04-16,M,rep,1805-12-02,1807-03-03,NH,,-1.0,Federalist,,Aries,38.0,38.0,39.0,39.0,456.0,1.0,3.0
Ebenezer  Elmer,1752-08-23,08-23,M,rep,1801-12-07,1803-03-03,NJ,,-1.0,Republican,,Virgo,49.0,49.0,50.0,50.0,451.0,1.0,2.0
James  Fenner,1771-01-22,01-22,M,sen,1805-12-02,1807-12-31,RI,2.0,,Republican,,Aquarius,34.0,34.0,36.0,36.0,759.0,2.0,0.0
John  Fowler,,,M,rep,1797-05-15,1799-03-03,KY,,2.0,Republican,,,,,,,657.0,1.0,9.0
Calvin  Goddard,1768-07-17,07-17,M,rep,1801-12-07,1803-03-03,CT,,-1.0,Federalist,,Cancer,33.0,33.0,34.0,34.0,451.0,1.0,2.0
Roger  Griswold,1762-05-21,05-21,M,rep,1795-12-07,1797-03-03,CT,,-1.0,Federalist,,Gemini,33.0,33.0,34.0,34.0,452.0,1.0,2.0
Silas  Halsey,1743-10-06,10-06,M,rep,1805-12-02,1807-03-03,NY,,17.0,Republican,,Libra,62.0,62.0,63.0,63.0,456.0,1.0,3.0
John  Hamilton,1754-11-25,11-25,M,rep,1805-12-02,1807-03-03,PA,,10.0,Republican,,Sagittarius,51.0,51.0,52.0,52.0,456.0,1.0,3.0
John Andre Hanna,,,M,rep,1797-05-15,1799-03-03,PA,,6.0,Republican,,,,,,,657.0,1.0,9.0
Seth  Hastings,1762-04-08,04-08,M,rep,1801-12-07,1803-03-03,MA,,4.0,Federalist,,Aries,39.0,39.0,40.0,40.0,451.0,1.0,2.0
David  Hough,1753-03-13,03-13,M,rep,1803-10-17,1805-03-03,NH,,-1.0,Federalist,,Pisces,50.0,50.0,52.0,52.0,503.0,1.0,4.0
Aaron  Kitchell,1744-07-10,07-10,M,rep,1791-10-24,1793-03-03,NJ,,-1.0,Democratic Republican,,Cancer,47.0,47.0,48.0,48.0,496.0,1.0,4.0
Henry Walter Livingston,,,M,rep,1803-10-17,1805-03-03,NY,,8.0,Federalist,,,,,,,503.0,1.0,4.0
Christian  Lower,1740-01-07,01-07,M,rep,1805-12-02,1807-03-03,PA,,3.0,Republican,,Capricorn,65.0,65.0,67.0,67.0,456.0,1.0,3.0
John Baptiste Charles Lucas,1758-08-14,08-14,M,rep,1803-10-17,1805-03-03,PA,,11.0,Republican,,Leo,45.0,45.0,46.0,46.0,503.0,1.0,4.0
Patrick  Magruder,,,M,rep,1805-12-02,1807-03-03,MD,,3.0,Republican,,,,,,,456.0,1.0,3.0
Duncan  McFarlan,,,M,rep,1805-12-02,1807-03-03,NC,,7.0,Republican,,,,,,,456.0,1.0,3.0
Cowles  Mead,1776-10-18,10-18,M,rep,1805-12-02,1807-03-03,GA,,-1.0,Republican,,Libra,29.0,29.0,30.0,30.0,456.0,1.0,3.0
David  Meriwether,1755-04-10,04-10,M,rep,1801-12-07,1803-03-03,GA,,-1.0,Republican,,Aries,46.0,46.0,47.0,47.0,451.0,1.0,2.0
Joseph Hopper Nicholson,1770-05-15,05-15,M,rep,1799-12-02,1801-03-03,MD,,7.0,Republican,,Taurus,29.0,29.0,30.0,30.0,456.0,1.0,3.0
Gideon  Olin,1743-11-02,11-02,M,rep,1803-10-17,1805-03-03,VT,,1.0,Republican,,Scorpio,59.0,59.0,61.0,61.0,503.0,1.0,4.0
Thomas Mann Randolph,1768-10-01,10-01,M,rep,1803-10-17,1805-03-03,VA,,21.0,Republican,,Libra,35.0,35.0,36.0,36.0,503.0,1.0,4.0
Peter  Sailly,1754-04-20,04-20,M,rep,1805-12-02,1807-03-03,NY,,11.0,Republican,,Taurus,51.0,51.0,52.0,52.0,456.0,1.0,3.0
Thomas  Sandford,,,M,rep,1803-10-17,1805-03-03,KY,,4.0,Republican,,,,,,,503.0,1.0,4.0
Martin Gerretsen Schuneman,1764-02-10,02-10,M,rep,1805-12-02,1807-03-03,NY,,7.0,Republican,,Aquarius,41.0,41.0,43.0,43.0,456.0,1.0,3.0
Daniel  Smith,1748-10-29,10-29,M,sen,1798-01-01,1799-12-31,TN,1.0,,Republican,,Scorpio,49.0,49.0,51.0,51.0,729.0,1.0,12.0
John Cotton Smith,1765-02-12,02-12,M,rep,1799-12-02,1801-03-03,CT,,-1.0,Federalist,,Aquarius,34.0,34.0,36.0,36.0,456.0,1.0,3.0
O’Brien  Smith,1784-07-31,07-31,M,rep,1805-12-02,1807-03-03,SC,,4.0,Republican,,Leo,21.0,21.0,22.0,22.0,456.0,1.0,3.0
Thomas  Spalding,1774-03-26,03-26,M,rep,1805-12-02,1807-03-03,GA,,-1.0,Republican,,Aries,31.0,31.0,32.0,32.0,456.0,1.0,3.0
Joseph  Stanton Jr.,1739-07-19,07-19,M,sen,1790-01-01,1793-03-03,RI,2.0,,Anti-Administration,,Cancer,50.0,50.0,53.0,53.0,1157.0,3.0,2.0
Thomas  Sumter,1734-08-14,08-14,M,rep,1789-03-04,1791-03-03,SC,,4.0,,,Leo,54.0,54.0,56.0,56.0,729.0,1.0,12.0
Samuel  Tenney,1748-11-27,11-27,M,rep,1799-12-02,1801-03-03,NH,,-1.0,Federalist,,Sagittarius,51.0,51.0,52.0,52.0,456.0,1.0,3.0
Philip Rootes Thompson,1766-03-26,03-26,M,rep,1801-12-07,1803-03-03,VA,,18.0,Republican,,Aries,35.0,35.0,36.0,36.0,451.0,1.0,2.0
Buckner  Thruston,1763-02-09,02-09,M,sen,1805-12-02,1809-12-31,KY,2.0,,Republican,,Aquarius,42.0,42.0,46.0,46.0,1490.0,4.0,1.0
Peleg  Wadsworth,1748-05-06,05-06,M,rep,1793-12-02,1795-03-03,MA,,4.0,Federalist,,Taurus,45.0,45.0,46.0,46.0,456.0,1.0,3.0
Matthew  Walton,,,M,rep,1803-10-17,1805-03-03,KY,,3.0,Republican,,,,,,,503.0,1.0,4.0
John  Whitehill,1729-12-11,12-11,M,rep,1803-10-17,1805-03-03,PA,,3.0,Republican,,Sagittarius,73.0,73.0,75.0,75.0,503.0,1.0,4.0
Eliphalet  Wickes,1769-04-01,04-01,M,rep,1805-12-02,1807-03-03,NY,,1.0,Republican,,Aries,36.0,36.0,37.0,37.0,456.0,1.0,3.0
Nathan  Williams,1773-12-19,12-19,M,rep,1805-12-02,1807-03-03,NY,,15.0,Republican,,Sagittarius,31.0,31.0,33.0,33.0,456.0,1.0,3.0
Joseph  Winston,1746-06-17,06-17,M,rep,1793-12-02,1795-03-03,NC,,3.0,Republican,,Gemini,47.0,47.0,48.0,48.0,456.0,1.0,3.0
Thomas  Wynns,,,M,rep,1801-12-07,1803-03-03,NC,,8.0,Republican,,,,,,,451.0,1.0,2.0
John  Milledge,,,M,rep,1792-11-22,1793-03-03,GA,,1.0,,,,,,,,101.0,0.0,3.0
Evan Shelby Alexander,,,M,rep,1806-02-24,1807-03-03,NC,,10.0,Republican,,,,,,,372.0,1.0,0.0
Joseph  Barker,1751-10-19,10-19,M,rep,1805-12-02,1807-03-03,MA,,7.0,Republican,,Libra,54.0,54.0,55.0,55.0,456.0,1.0,3.0
Barnabas  Bidwell,1763-08-23,08-23,M,rep,1805-12-02,1807-03-03,MA,,12.0,Republican,,Virgo,42.0,42.0,43.0,43.0,456.0,1.0,3.0
John  Blake Jr.,1762-12-05,12-05,M,rep,1805-12-02,1807-03-03,NY,,5.0,Republican,,Sagittarius,43.0,43.0,44.0,44.0,456.0,1.0,3.0
John  Boyle,1774-10-28,10-28,M,rep,1803-10-17,1805-03-03,KY,,2.0,Republican,,Scorpio,28.0,28.0,30.0,30.0,503.0,1.0,4.0
Stephen Row Bradley,1754-02-20,02-20,M,sen,1791-10-24,1795-03-03,VT,3.0,,,,Pisces,37.0,37.0,41.0,41.0,1226.0,3.0,4.0
James Madison Broom,,,M,rep,1805-12-02,1807-03-03,DE,,0.0,Federalist,,,,,,,456.0,1.0,3.0
Peter  Carleton,1755-09-19,09-19,M,rep,1807-10-26,1809-03-03,NH,,-1.0,Republican,,Virgo,52.0,52.0,53.0,53.0,494.0,1.0,4.0
John  Claiborne,,,M,rep,1805-12-02,1807-03-03,VA,,17.0,Republican,,,,,,,456.0,1.0,3.0
Daniel  Clark,,,M,rep,1805-12-02,1807-03-03,OL,,-1.0,,,,,,,,456.0,1.0,3.0
Joseph  Clay,1769-07-24,07-24,M,rep,1803-10-17,1805-03-03,PA,,1.0,Republican,,Leo,34.0,34.0,35.0,35.0,503.0,1.0,4.0
George  Clinton,1771-06-06,06-06,M,rep,1803-10-17,1805-03-03,NY,,3.0,Republican,,Gemini,32.0,32.0,33.0,33.0,503.0,1.0,4.0
Jacob  Crowninshield,1770-03-31,03-31,M,rep,1803-10-17,1805-03-03,MA,,2.0,Republican,,Aries,33.0,33.0,34.0,34.0,503.0,1.0,4.0
Ezra  Darby,1768-06-07,06-07,M,rep,1805-12-02,1807-03-03,NJ,,-1.0,Republican,,Gemini,37.0,37.0,38.0,38.0,456.0,1.0,3.0
Josiah  Dean,1748-03-06,03-06,M,rep,1807-10-26,1809-03-03,MA,,9.0,Republican,,Pisces,59.0,59.0,61.0,61.0,494.0,1.0,4.0
Daniel Meserve Durell,1769-07-20,07-20,M,rep,1807-10-26,1809-03-03,NH,,-1.0,Republican,,Cancer,38.0,38.0,39.0,39.0,494.0,1.0,4.0
James  Elliott,1775-08-18,08-18,M,rep,1803-10-17,1805-03-03,VT,,2.0,Federalist,,Leo,28.0,28.0,29.0,29.0,503.0,1.0,4.0
Jesse  Franklin,1760-03-24,03-24,M,rep,1795-12-07,1797-03-03,NC,,3.0,Republican,,Aries,35.0,35.0,36.0,36.0,452.0,1.0,2.0
Francis  Gardner,1771-12-27,12-27,M,rep,1807-10-26,1809-03-03,NH,,-1.0,Republican,,Capricorn,35.0,35.0,37.0,37.0,494.0,1.0,4.0
James Mercer Garnett,1770-06-08,06-08,M,rep,1805-12-02,1807-03-03,VA,,11.0,Republican,,Gemini,35.0,35.0,36.0,36.0,456.0,1.0,3.0
Chauncey  Goodrich,1759-10-20,10-20,M,rep,1795-12-07,1797-03-03,CT,,-1.0,Federalist,,Libra,36.0,36.0,37.0,37.0,452.0,1.0,2.0
Andrew  Gregg,1755-06-10,06-10,M,rep,1791-10-24,1793-03-03,PA,,6.0,Democratic Republican,,Gemini,36.0,36.0,37.0,37.0,496.0,1.0,4.0
John  Harris,1760-09-26,09-26,M,rep,1807-10-26,1809-03-03,NY,,17.0,Republican,,Libra,47.0,47.0,48.0,48.0,494.0,1.0,4.0
John  Hiester,1745-04-09,04-09,M,rep,1807-10-26,1809-03-03,PA,,3.0,Republican,,Aries,62.0,62.0,63.0,63.0,494.0,1.0,4.0
William  Hoge,,,M,rep,1801-12-07,1803-03-03,PA,,12.0,Republican,,,,,,,451.0,1.0,2.0
Reuben  Humphrey,1757-09-02,09-02,M,rep,1807-10-26,1809-03-03,NY,,16.0,Republican,,Virgo,50.0,50.0,51.0,51.0,494.0,1.0,4.0
Daniel  Ilsley,1740-05-30,05-30,M,rep,1807-10-26,1809-03-03,MA,,15.0,Republican,,Gemini,67.0,67.0,68.0,68.0,494.0,1.0,4.0
George  Jones,1766-02-25,02-25,M,sen,1807-10-26,1807-12-31,GA,2.0,,Republican,,Pisces,41.0,41.0,41.0,41.0,66.0,0.0,2.0
James  Kelly,1760-07-17,07-17,M,rep,1805-12-02,1807-03-03,PA,,6.0,Federalist,,Cancer,45.0,45.0,46.0,46.0,456.0,1.0,3.0
William  Kirkpatrick,1769-11-07,11-07,M,rep,1807-10-26,1809-03-03,NY,,15.0,Republican,,Scorpio,37.0,37.0,39.0,39.0,494.0,1.0,4.0
Nehemiah  Knight,1746-03-23,03-23,M,rep,1803-10-17,1805-03-03,RI,,-1.0,Republican,,Aries,57.0,57.0,58.0,58.0,503.0,1.0,4.0
Josiah  Masters,1763-11-22,11-22,M,rep,1805-12-02,1807-03-03,NY,,10.0,Republican,,Sagittarius,42.0,42.0,43.0,43.0,456.0,1.0,3.0
Elisha  Mathewson,1767-04-18,04-18,M,sen,1807-10-26,1811-03-03,RI,2.0,,Republican,,Aries,40.0,40.0,43.0,43.0,1224.0,3.0,4.0
William  McCreery,,,M,rep,1803-10-17,1805-03-03,MD,,5.0,Republican,,,,,,,503.0,1.0,4.0
Daniel  Montgomery Jr.,1765-10-30,10-30,M,rep,1807-10-26,1809-03-03,PA,,5.0,Republican,,Scorpio,42.0,42.0,43.0,43.0,494.0,1.0,4.0
John  Morrow,,,M,rep,1805-12-02,1807-03-03,VA,,2.0,Republican,,,,,,,456.0,1.0,3.0
Benjamin  Parke,1777-09-22,09-22,M,rep,1805-12-02,1807-03-03,IN,,-1.0,,,Virgo,28.0,28.0,29.0,29.0,456.0,1.0,3.0
Nahum  Parker,1760-03-04,03-04,M,sen,1807-10-26,1811-03-03,NH,3.0,,Republican,,Pisces,47.0,47.0,51.0,51.0,1224.0,3.0,4.0
John  Pugh,1761-06-02,06-02,M,rep,1805-12-02,1807-03-03,PA,,2.0,Republican,,Gemini,44.0,44.0,45.0,45.0,456.0,1.0,3.0
Jacob  Richards,,,M,rep,1803-10-17,1805-03-03,PA,,1.0,Republican,,,,,,,503.0,1.0,4.0
Samuel  Riker,1743-04-08,04-08,M,rep,1803-10-17,1805-03-03,NY,,1.0,Republican,,Aries,60.0,60.0,61.0,61.0,503.0,1.0,4.0
John  Russell,1772-09-07,09-07,M,rep,1805-12-02,1807-03-03,NY,,14.0,Republican,,Virgo,33.0,33.0,34.0,34.0,456.0,1.0,3.0
James  Sloan,,,M,rep,1803-10-17,1805-03-03,NJ,,-1.0,Republican,,,,,,,503.0,1.0,4.0
Jedediah Kilburn Smith,1770-11-07,11-07,M,rep,1807-10-26,1809-03-03,NH,,-1.0,Republican,,Scorpio,36.0,36.0,38.0,38.0,494.0,1.0,4.0
John  Smith,1752-02-12,02-12,M,rep,1799-12-02,1801-03-03,NY,,1.0,Republican,,Aquarius,47.0,47.0,49.0,49.0,456.0,1.0,3.0
Joseph  Story,1779-09-18,09-18,M,rep,1807-10-26,1809-03-03,MA,,2.0,Republican,,Virgo,28.0,28.0,29.0,29.0,494.0,1.0,4.0
Peter  Swart,1752-07-05,07-05,M,rep,1807-10-26,1809-03-03,NY,,13.0,Republican,,Cancer,55.0,55.0,56.0,56.0,494.0,1.0,4.0
David  Thomas,1762-06-11,06-11,M,rep,1801-12-07,1803-03-03,NY,,7.0,Republican,,Gemini,39.0,39.0,40.0,40.0,451.0,1.0,2.0
Edward  Tiffin,1766-06-19,06-19,M,sen,1807-10-26,1809-12-31,OH,3.0,,Republican,,Gemini,41.0,41.0,43.0,43.0,797.0,2.0,2.0
Abram  Trigg,,,M,rep,1797-05-15,1799-03-03,VA,,4.0,Republican,,,,,,,657.0,1.0,9.0
James Isaac Van Alen,1772-12-31,12-31,M,rep,1807-10-26,1809-03-03,NY,,8.0,Republican,,Capricorn,34.0,34.0,36.0,36.0,494.0,1.0,4.0
Philip  Van Cortlandt,1749-08-21,08-21,M,rep,1793-12-02,1795-03-03,NY,,3.0,Republican,,Leo,44.0,44.0,45.0,45.0,456.0,1.0,3.0
Daniel Crommelin Verplanck,1762-03-19,03-19,M,rep,1803-10-17,1805-03-03,NY,,6.0,Republican,,Pisces,41.0,41.0,42.0,42.0,503.0,1.0,4.0
Isaac  Wilbour,1763-04-25,04-25,M,rep,1807-10-26,1809-03-03,RI,,-1.0,Republican,,Taurus,44.0,44.0,45.0,45.0,494.0,1.0,4.0
Marmaduke  Williams,1774-04-06,04-06,M,rep,1803-10-17,1805-03-03,NC,,9.0,Republican,,Aries,29.0,29.0,30.0,30.0,503.0,1.0,4.0
Alexander  Wilson,,,M,rep,1803-10-17,1805-03-03,VA,,5.0,Republican,,,,,,,503.0,1.0,4.0
Nathan  Wilson,1758-12-23,12-23,M,rep,1807-10-26,1809-03-03,NY,,12.0,Republican,,Capricorn,48.0,48.0,50.0,50.0,494.0,1.0,4.0
James  Witherell,1759-06-16,06-16,M,rep,1807-10-26,1809-03-03,VT,,1.0,Republican,,Gemini,48.0,48.0,49.0,49.0,494.0,1.0,4.0
Return Jonathan Meigs Jr.,1764-11-17,11-17,M,sen,1808-12-12,1809-03-03,OH,1.0,,Republican,,Scorpio,44.0,44.0,44.0,44.0,81.0,0.0,2.0
James  Madison,1751-03-16,03-16,M,rep,1789-03-04,1791-03-03,VA,,5.0,Republican,,Pisces,37.0,37.0,39.0,39.0,729.0,1.0,12.0
Joseph  Allen,1749-09-02,09-02,M,rep,1809-05-22,1811-03-03,MA,,10.0,Federalist,,Virgo,59.0,59.0,61.0,61.0,650.0,1.0,9.0
Lemuel James Alston,,,M,rep,1807-10-26,1809-03-03,SC,,8.0,Republican,,,,,,,494.0,1.0,4.0
Joseph  Anderson,1757-11-05,11-05,M,sen,1797-05-15,1799-03-03,TN,2.0,,Republican,,Scorpio,39.0,39.0,41.0,41.0,657.0,1.0,9.0
Daniel  Blaisdell,1762-01-22,01-22,M,rep,1809-05-22,1811-03-03,NH,,-1.0,Federalist,,Aquarius,47.0,47.0,49.0,49.0,650.0,1.0,9.0
Richard  Brent,,,M,rep,1795-12-07,1797-03-03,VA,,17.0,Republican,,,,,,,452.0,1.0,2.0
John  Brown,,,M,rep,1809-05-22,1811-03-03,MD,,7.0,Republican,,,,,,,650.0,1.0,9.0
Joseph  Calhoun,1750-10-22,10-22,M,rep,1807-10-26,1809-03-03,SC,,6.0,Republican,,Libra,57.0,57.0,58.0,58.0,494.0,1.0,4.0
Alexander  Campbell,,,M,sen,1809-05-22,1813-03-03,OH,3.0,,Republican,,,,,,,1381.0,3.0,9.0
John  Campbell,1765-09-11,09-11,M,rep,1801-12-07,1803-03-03,MD,,1.0,Federalist,,Virgo,36.0,36.0,37.0,37.0,451.0,1.0,2.0
John Curtis Chamberlain,1772-06-05,06-05,M,rep,1809-05-22,1811-03-03,NH,,-1.0,Federalist,,Gemini,36.0,36.0,38.0,38.0,650.0,1.0,9.0
William  Chamberlain,1755-04-27,04-27,M,rep,1803-10-17,1805-03-03,VT,,3.0,Federalist,,Taurus,48.0,48.0,49.0,49.0,503.0,1.0,4.0
Christopher Grant Champlin,1768-04-12,04-12,M,rep,1797-05-15,1799-03-03,RI,,-1.0,Federalist,,Aries,29.0,29.0,30.0,30.0,657.0,1.0,9.0
Orchard  Cook,1763-03-24,03-24,M,rep,1805-12-02,1807-03-03,MA,,16.0,Republican,,Aries,42.0,42.0,43.0,43.0,456.0,1.0,3.0
James  Cox,1753-06-14,06-14,M,rep,1809-05-22,1811-03-03,NJ,,-1.0,Republican,,Gemini,55.0,55.0,57.0,57.0,650.0,1.0,9.0
Henry  Crist,1764-10-20,10-20,M,rep,1809-05-22,1811-03-03,KY,,3.0,Republican,,Libra,44.0,44.0,46.0,46.0,650.0,1.0,9.0
William  Denning,,,M,rep,1809-05-22,1811-03-03,NY,,-1.0,,,,,,,,650.0,1.0,9.0
Barent  Gardenier,1776-07-28,07-28,M,rep,1807-10-26,1809-03-03,NY,,7.0,Federalist,,Leo,31.0,31.0,32.0,32.0,494.0,1.0,4.0
Gideon  Gardner,1759-05-30,05-30,M,rep,1809-05-22,1811-03-03,MA,,8.0,Republican,,Gemini,50.0,50.0,51.0,51.0,650.0,1.0,9.0
David Shepherd Garland,1769-09-27,09-27,M,rep,1809-05-22,1811-03-03,VA,,21.0,Republican,,Libra,39.0,39.0,41.0,41.0,650.0,1.0,9.0
Obadiah  German,1766-04-22,04-22,M,sen,1809-05-22,1815-03-03,NY,1.0,,Republican,,Taurus,43.0,43.0,48.0,48.0,2111.0,5.0,9.0
Stanley  Griswold,1763-11-14,11-14,M,sen,1809-05-22,1809-12-31,OH,3.0,,Republican,,Scorpio,45.0,45.0,46.0,46.0,223.0,0.0,7.0
Nathaniel Appleton Haven,1762-07-19,07-19,M,rep,1809-05-22,1811-03-03,NH,,-1.0,Federalist,,Cancer,46.0,46.0,48.0,48.0,650.0,1.0,9.0
William  Helms,1783-09-30,09-30,M,rep,1801-12-07,1803-03-03,NJ,,-1.0,Republican,,Libra,18.0,18.0,19.0,19.0,451.0,1.0,2.0
Daniel  Hiester,,,M,rep,1809-05-22,1811-03-03,PA,,3.0,Republican,,,,,,,650.0,1.0,9.0
James  Hillhouse,1754-10-20,10-20,M,rep,1791-10-24,1793-03-03,CT,,-1.0,,,Libra,37.0,37.0,38.0,38.0,496.0,1.0,4.0
James  Holland,,,M,rep,1795-12-07,1797-03-03,NC,,1.0,Republican,,,,,,,452.0,1.0,2.0
Benjamin  Howard,,,M,rep,1807-10-26,1809-03-03,KY,,5.0,Republican,,,,,,,494.0,1.0,4.0
Jonathan Hatch Hubbard,1768-05-07,05-07,M,rep,1809-05-22,1811-03-03,VT,,2.0,Federalist,,Taurus,41.0,41.0,42.0,42.0,650.0,1.0,9.0
Robert  Jenkins,1769-07-10,07-10,M,rep,1807-10-26,1809-03-03,PA,,3.0,Federalist,,Cancer,38.0,38.0,39.0,39.0,494.0,1.0,4.0
Walter  Jones,1745-12-18,12-18,M,rep,1797-05-15,1799-03-03,VA,,19.0,Republican,,Sagittarius,51.0,51.0,53.0,53.0,657.0,1.0,9.0
Thomas  Kenan,1771-02-26,02-26,M,rep,1805-12-02,1807-03-03,NC,,5.0,Republican,,Pisces,34.0,34.0,36.0,36.0,456.0,1.0,3.0
Herman  Knickerbocker,1779-07-27,07-27,M,rep,1809-05-22,1811-03-03,NY,,6.0,Federalist,,Leo,29.0,29.0,31.0,31.0,650.0,1.0,9.0
John  Lambert,1746-02-24,02-24,M,rep,1805-12-02,1807-03-03,NJ,,-1.0,Republican,,Pisces,59.0,59.0,61.0,61.0,456.0,1.0,3.0
Michael  Leib,1760-01-08,01-08,M,rep,1799-12-02,1801-03-03,PA,,2.0,Republican,,Capricorn,39.0,39.0,41.0,41.0,456.0,1.0,3.0
Edward St. Loe Livermore,1762-04-05,04-05,M,rep,1807-10-26,1809-03-03,MA,,3.0,Federalist,,Aries,45.0,45.0,46.0,46.0,494.0,1.0,4.0
John  Love,,,M,rep,1807-10-26,1809-03-03,VA,,9.0,Republican,,,,,,,494.0,1.0,4.0
Matthew  Lyon,1749-07-14,07-14,M,rep,1797-05-15,1799-03-03,VT,,1.0,Republican,,Cancer,47.0,47.0,49.0,49.0,657.0,1.0,9.0
Francis  Malbone,1759-03-20,03-20,M,rep,1793-12-02,1795-03-03,RI,,-1.0,Federalist,,Pisces,34.0,34.0,35.0,35.0,456.0,1.0,3.0
Robert  Marion,,,M,rep,1805-12-02,1807-03-03,SC,,1.0,Republican,,,,,,,456.0,1.0,3.0
Vincent  Mathews,1766-06-29,06-29,M,rep,1809-05-22,1811-03-03,NY,,14.0,Federalist,,Cancer,42.0,42.0,44.0,44.0,650.0,1.0,9.0
